"TransactionID","AccountID","TransactionAmount","AvgTransactionAmount","HighValueStatus","Location","TransactionDate","TransactionsPerDay","AvgDailyTransactions","FrequencyStatus","LoginAttempts","AvgLoginAttempts","LoginStatus","MultiFactorScore","MultiFactorLabel"
TX001313,AC00001,47.79,130.38,NORMAL,Denver,"2023-09-15",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002017,AC00001,212.97,130.38,NORMAL,Atlanta,"2023-11-14",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000021,AC00002,59.32,293.74,NORMAL,Los Angeles,"2023-02-28",1,1.0,NORMAL,1,1.14,NORMAL,0,LOW
TX000062,AC00002,263.99,293.74,NORMAL,Dallas,"2023-05-16",1,1.0,NORMAL,2,1.14,NORMAL,0,LOW
TX001029,AC00002,516.47,293.74,NORMAL,Charlotte,"2023-12-21",1,1.0,NORMAL,1,1.14,NORMAL,0,LOW
TX001477,AC00002,12.62,293.74,NORMAL,El Paso,"2023-05-05",1,1.0,NORMAL,1,1.14,NORMAL,0,LOW
TX001599,AC00002,395.16,293.74,NORMAL,Milwaukee,"2023-07-24",1,1.0,NORMAL,1,1.14,NORMAL,0,LOW
TX001674,AC00002,331.66,293.74,NORMAL,Las Vegas,"2023-09-11",1,1.0,NORMAL,1,1.14,NORMAL,0,LOW
TX002121,AC00002,476.99,293.74,NORMAL,San Diego,"2023-01-10",1,1.0,NORMAL,1,1.14,NORMAL,0,LOW
TX001841,AC00003,237.97,253.27,NORMAL,Columbus,"2023-01-09",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001904,AC00003,384.11,253.27,NORMAL,Fort Worth,"2023-05-15",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002248,AC00003,207.47,253.27,NORMAL,Miami,"2023-10-02",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002326,AC00003,20.17,253.27,NORMAL,San Antonio,"2023-01-02",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002363,AC00003,416.62,253.27,NORMAL,Baltimore,"2023-03-06",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000223,AC00004,547.87,242.23,NORMAL,Columbus,"2023-07-10",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000245,AC00004,40.66,242.23,NORMAL,Louisville,"2024-01-01",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000707,AC00004,642.54,242.23,NORMAL,Milwaukee,"2023-05-10",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001648,AC00004,99.25,242.23,NORMAL,Phoenix,"2023-06-26",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001820,AC00004,365.43,242.23,NORMAL,Portland,"2023-11-23",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001851,AC00004,13.16,242.23,NORMAL,Mesa,"2023-05-01",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002328,AC00004,273.24,242.23,NORMAL,Fresno,"2023-12-12",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002391,AC00004,136.31,242.23,NORMAL,Nashville,"2023-10-30",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002442,AC00004,61.62,242.23,NORMAL,Miami,"2023-10-09",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000195,AC00005,488.54,347.97,NORMAL,Jacksonville,"2023-07-03",1,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX000547,AC00005,420.28,347.97,NORMAL,Washington,"2023-05-17",1,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX000760,AC00005,417.8,347.97,NORMAL,Philadelphia,"2023-06-26",1,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX000944,AC00005,377.92,347.97,NORMAL,Raleigh,"2023-02-22",2,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX001038,AC00005,107.48,347.97,NORMAL,Omaha,"2023-12-04",1,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX001792,AC00005,680.76,347.97,NORMAL,Kansas City,"2023-02-27",1,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX001971,AC00005,116.89,347.97,NORMAL,Columbus,"2023-11-20",1,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX002083,AC00005,359.51,347.97,NORMAL,Charlotte,"2023-11-30",1,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX002315,AC00005,162.59,347.97,NORMAL,Indianapolis,"2023-02-22",2,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX000216,AC00006,74.88,254.43,NORMAL,Atlanta,"2023-05-24",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
